,Date,Place,Tier,Tournament,Result,Prize,icon
0,2022,,,,,,
1,2022-06-19,2nd,A2A-Tier,MLBB Southeast Asia Cup 2022,0 : 4,"$60,000",RSG Philippines
2,2022-04-24,1st,A2A-Tier,MPL Indonesia Season 9,4 : 1,"$140,000",ONIC Esports
3,2021,,,,,,
4,2021-12-17,5th - 6th,A1S-Tier,M3 World Championship,0 : 3,"$40,000",Blacklist International
5,2021-11-07,3rd - 4th,A2A-Tier,ONE Esports MPL Invitational 2021,1 : 2,"$9,000",Blacklist International
6,2021-10-24,2nd,A2A-Tier,MPL Indonesia Season 8,3 : 4,"$67,200",ONIC Esports
7,2021-05-02,5th - 6th,A2A-Tier,MPL Indonesia Season 7,1 : 2,"$10,525",Aerowolf Pro Team
8,2021-01-24,3rd,A1S-Tier,M2 World Championship,1 : 3,"$28,000",Bren Esports
9,2020,,,,,,
10,2020-12-05,5th - 8th,A2A-Tier,ONE Esports MPL Invitational 2020,0 : 2,"$3,000",Alter Ego
11,2020-10-18,1st,A2A-Tier,MPL Indonesia Season 6,3 : 2,"$140,000",Alter Ego
12,2020-07-05,1st,A2A-Tier,MLBB Professional League Invitational 4 Nation Cup,3 : 0,Resurgence,
13,2020-04-12,1st,A2A-Tier,MPL Indonesia Season 5,3 : 2,"$140,000",EVOS Legends
14,2019,,,,,,
15,2019-11-17,2nd,A1S-Tier,M1 World Championship,3 : 4,"$40,000",EVOS Legends
16,2019-10-27,2nd,A2A-Tier,MPL Indonesia Season 4,1 : 3,"$67,200",EVOS Legends
17,2019-07-14,3rd,A4C-Tier,BEKRAF Game Prime 2019,2 : 0,$357,Aerowolf Pro Team
18,2019-05-03,7th - 8th,A2A-Tier,MPL Indonesia Season 3,0 : 2,"$7,200",Bigetron Esports
19,2019-03-31,3rd,A3B-Tier,Piala Presiden Esports 2019,2 : 0,"$7,030",EVOS Esports
20,2019-03-22,1st - 8th,A10Qualifier,Piala Presiden Esports 2019 - Closed,4/1/2,Grp S.,
21,2019-01-06,1st,A3B-Tier,Mobile Star League Season 2,3 : 0,"$4,000",Aerowolf Pro Team
22,2018,,,,,,
23,2018-11-18,1st,A2A-Tier,MPL Indonesia Season 2,3 : 0,"$31,300",EVOS Esports
24,2018-09-02,1st,A3B-Tier,Mobile Star League Season 1,3 : 2,"$4,000",EVOS Esports
25,2018-07-29,3rd,A2A-Tier,MLBB Southeast Asia Cup 2018,2 : 0,"$12,000",Aerowolf Pro Team
26,2018-07-15,1st,A4C-Tier,BEKRAF Game Prime 2018,3 : 1,"$1,392",Aerowolf Pro Team
27,2018-04-01,3rd,A2A-Tier,MPL Indonesia Season 1,0 : 2,"$13,509",Team NXL
28,2017,,,,,,
29,2017-12-03,1st - 2nd,A10Qualifier,MPL Indonesia Season 1 - Qualifier 1,2 : 0,$400,Team Rev Indo
